Key, Old Text, Present Text
,,
,,
,,
,,
Character_IncreaseChanceGemParamsOnCombine_Perk,"When combining gems, there is a {0}% chance to increase the quality, size, and luster of the new gem by 1 each.","When combining gems, there is a {0}% chance to increase the quality, size of the new gem by 1 level."
Item_Description_WP_DLC_SoulTaker,"On kill, has {SECONDARY_ProcChance} base chance to summon a unit, {DYNAMIC_POWERUP@0@0}<br>{NATIVE_RESOLVER@0}","Has a {SECONDARY_ProcChance} chance to summon an unit when killing an enemy, {DYNAMIC_POWERUP@0@0}"
,,
Item_Description_AlchemyLauncher,"Throws flasks in an arc at a target location. Flasks impact after {SECONDARY_ProcDuration} seconds. Explode on impact, applying Plague Cloud to enemies hit. Adjacent weapons gain a {RULE_ItemPowerUp0@0} bonus to their area of effect","Throws flasks in an arc at a target location. Flasks land after {SECONDARY_ProcDuration}s and explode on impact, creating a {TERMS_Plague} cloud. Enemies hit are afflicted by {TERMS_Plague}. Adjacent weapons gain {RULE_ItemPowerUp0@0} bonus area of effect."
,,
SummonUnit_Description_FireElemental,"Fire Elementals fly around the player, attacking with ranged fire bolts that apply {TERMS_Burn}. Has a {SECONDARY_ProcChance} chance to shoot a fire beam that pierces through enemies. Each stack of {TERMS_Burn} deals {SECONDARY_SecondaryDamage} ({ICON_TieredValueWithScaling@Secondary}) damage.","Fire Elementals fly around the player, attacking with ranged fire bolts that apply {TERMS_Burn}. Has a {SECONDARY_SecondaryProcChance} chance to shoot a fire beam that pierces through enemies. Each stack of {TERMS_Burn} deals {SECONDARY_SecondaryDamage} ({ICON_TieredValueWithScaling@Secondary}) damage."
Item_Description_WandOfUnlife,"Shoots necrotic spheres that expand upon contact with enemies, dealing {SECONDARY_SecondaryDamage@BaseDamage} ({ICON_MagicPower}) damage every {SECONDARY_AttackSpeed} seconds and applying {TERMS_Cold}.<br>On kill, has a {SECONDARY_ProcChance} base chance to summon a unit, increasing by {DYNAMIC_POWERUP@1@0}.","Shoots necrotic spheres that expand upon contact with enemies, dealing {SECONDARY_SecondaryDamage@BaseDamage} ({ICON_MagicPower}) damage every {SECONDARY_AttackSpeed} seconds and applying {TERMS_Cold}.<br>Has a {SECONDARY_ProcChance} chance to summon an unit when killing an enemy, increasing by {DYNAMIC_POWERUP@1@0}."
Item_Description_HeavenSplitter,Attacks alternate between thrusts and slashes.<br>- Thrust: Fires a piercing bolt of lightning that applies {TERMS_Shock} to enemies hit.<br>- Slash: Calls down a bolt of lightning that applies {TERMS_Shock} to the area.<br>{Stat_SummonOnKillChance} chance to create a random summon when killing an enemy.,Attacks alternate between thrusts and slashes.<br>- Thrust: Fires a piercing bolt of lightning that applies {TERMS_Shock} to enemies hit.<br>- Slash: Calls down a bolt of lightning that applies {TERMS_Shock} to the area.<br>Has a {SECONDARY_SecondaryProcChance} chance to summon an unit when killing an enemy
