Key, Text
UI_TypeUISelectFavour_PowerUpWeapon_SummonQuantityModifier,Summon Quantity Bonus
Tooltip_GemUnsockedEffect_Title,Unsocketed Effect
Item_GemUnSocketedEffects_ProjectilePower,{0} {1} for each Projectile Power item.
Item_GemUnSocketedEffects_MeleePower,{0} {1} for each Melee Power item.
Item_GemUnSocketedEffects_MagicPower,{0} {1} for each Magic Power item.
Item_GemUnSocketedEffects_Luck,{0} {1} for each Luck item.
Item_GemUnSocketedEffects_ResourceGain,{0} {1} for each Resource Gain item.
Item_GemUnSocketedEffects_ExperienceGain,{0} {1} for each Experience Gain item.
Item_GemUnSocketedEffects_LifeSteal,{0} {1} for each LifeSteal item.
Item_GemUnSocketedEffects_Recovery,{0} {1} for each Recovery item.
Item_GemUnSocketedEffects_DodgeChance,{0} {1} for each Dodge Chance item.
Item_GemUnSocketedEffects_Armor,{0} {1} for each Armor item.
Item_GemUnSocketedEffects_Vitality,{0} {1} for each Vitality item.
Item_GemUnSocketedEffects_SummonQuantity,{0} {1} for each Summon Quantity item.
Item_GemUnSocketedEffects_SummonPower,{0} {1} for each Summon Power item.
Item_GemUnSocketedEffects_SummonDuration,{0} {1} for each Summon Duration item.
Resolver_GemResolverWithoutCondition_Weapon,Increases weapon's {0} by {1}
Resolver_GemResolverWithoutCondition_Summon,Increases summoned units' {0} by {1}
Resolver_GemResolverWithoutCondition_Range_Summon,Increases the {0} of summoned units by {1}
Resolver_GemResolverMultiple_Pierce_PierceDamage_Weapon,Increases weapon's {0} by {1} and reduces pierce damage loss by {2}
Resolver_GemResolverOnActiveSummonUnitCountChange_AreaOfEffectModifier_Summon,Increases summon attack's {0} by {1} for every {2} active summoned units{Replace} up to a maximum of {3}
Resolver_GemResolverMultiple_Summon,Summoned units have a {0} chance to apply {1}{Replace} restoring {2} HP and healing the player
Resolver_GemResolverRegularUpdate_Recovery_Weapon,Every {0} seconds without taking damage{Replace} increases {1} by {2}{Replace} up to a maximum of {3}. Reset when floor ends
Resolver_GemResolverAddPlagueStatus_Summon,Summoned units have a {0} chance to apply {1} on hit
Resolver_GemResolverAddPlagueStatus_Weapon,On hit{Replace} has a {0} chance to apply {1}
Resolver_GemResolverTrigger_OnCritical_Chill_Weapon,On critical hit{Replace} {0} chance to apply 1 stack of {1}
Resolver_GemResolverSpawnAtkSummonUnit_Summon,Summoned units explode on death{Replace} dealing {0} of their damage as AOE damage and applying {1}
Resolver_GemResolverTrigger_SummonPower_Weapon,Every {0} kills{Replace} increases {1} by {2}{Replace} up to a maximum of {3}. Reset when floor ends
Resolver_GemResolverWithoutCondition_SummonPowerGainModifier_Summon,Summoned units gain an additional {0} {1}
Resolver_GemResolverOnActiveSummonUnitCountChange_CritModifier_Weapon,Increases {0} by {1} for each active summoned unit{Replace} up to a maximum of {2} units counted
Resolver_GemResolverTriggerForSummonUnit_SummonQuantityModifier_Summon,Summon item gain {0} {1} for every {2} enemies its summoned units kill{Replace} up to maximum of {3} kills. Kill count carries over between resocketing
Resolver_GemResolverWithoutConditionConvertStats_AttackSpeedBonus_Weapon,This weapon gains {0} of {1} as {2} {3}
Resolver_GemResolverWithoutConditionConvertStats_SummonCooldownReduction_Summon,Summon items convert {0} of {1} into {2}
Resolver_GemResolverChanceResetDurationOnKill_ChanceResetSummonUnitDuration_Summon,Summoned units have a {0} chance to reset their duration on kill.
Resolver_GemResolverTrigger_SummonDuration_Weapon,On killing an enemy{Replace} extends {0} by {1}{Replace} up to a maximum of {2}. Resets when the floor ends.
Resolver_GemResolverAlwaysUpdate_MoveSpeed_AttackSpeed_Summon,When standing next to the summon{Replace} {0} is increased by {1}. Additionally{Replace} the summon’s {2} is increased by {3} when the player is within a range of {4}.
Resolver_GemResolverTrigger_MoveSpeed_Weapon,Increases {0} by {1} when the weapon kills an enemy{Replace} up to a maximum of {2}. Resets when the floor ends.
Resolver_GemResolverTrigger_Range_Weapon,On a critical hit{Replace} increases {0} by {1}{Replace} up to a maximum of {2}. Resets when the floor ends.
Resolver_GemResolverAddShockStatusEffect_Summom,Summoned units deal an additional {0} damage on hit with a {1} chance to apply {2}. If the summon already has {3}{Replace} the additional damage effect is increased by {4}.
Resolver_GemResolverAddShockStatusEffect_Weapon,On hit{Replace} deals an extra {0} damage with a {1} chance to apply {2}. If the weapon already has {3}{Replace} the extra damage effect is increased by {4}.
Resolver_GemResolverWithoutCondition_SummonHealthRegen_Summon,Summoned units regenerate {0} health per second.
Resolver_GemResolverAddBurnStatusEffect_SummonPower_Summon,Summoned units apply {4}{Replace} dealing {0} ({1}) damage for each stack. If the summoned unit already applies {5}{Replace} increase burn damage by {3} instead
