Text, Old Key, Present key
Pocket Mortar,AllySummonUnit_PocketMortar_Name,Weapon_Summon_PocketMortar_Name
Purifier Launcher,AllySummonUnit_PurifierLauncher_Name,Weapon_Summon_PurifierLauncher_Name
Repair Tower,AllySummonUnit_RepairTower_Name,Weapon_Summon_RepairTower_Name
Scorpion Turret,AllySummonUnit_ScorpionTurret_Name,Weapon_Summon_ScorpionTurret_Name
Alegreya-Regular SDF,Button_Character_Class_font_Regular,Character_Font_Regular
Cancel,Button_ContextMenu_Cancel,UIControllerButton_Type_Cancel
Combine,Button_ContextMenu_Combine,UIControllerButton_Type_Combine
Alegreya-Bold SDF,Button_ContextMenu_font,Character_Font_Bold
Collect a total of {0} gold,COND_PROSPERITY_II_DESCRIPTION,COND_PROSPERITY_I_DESCRIPTION
Win a run with {1},COND_RUN_VICTORY_STAT_ARMOR_LE_DESCRIPTION,COND_RUN_VICTORY_STAT_LIFESTEAL_LE_DESCRIPTION
Win a run using the aspect {0} of {1},COND_RUN_VICTORY_WITH_CHAR_DESCRIPTION,COND_RUN_VICTORY_WITH_CHAR_DESCRIPTION_Female
Unlock Condition,COND_Requirement_Tile,UI_Character_Info_Unlock_Condition
Eliminate a total of {0} enemies,COND_SLAYER_III_DESCRIPTION,COND_SLAYER_II_DESCRIPTION
{0} Magic Power,COND_STAT_MAGICPOWER_25_DESCRIPTION,COND_DLC_SINISTERSPELLS_CHILD_2_DESCRIPTION
{0} Projectile Power,COND_STAT_PROJECTILEPOWER_25_DESCRIPTION,COND_DLC_INDUSTRIALREVOLUTION_CHILD_2_DESCRIPTION
Blessed,COND_STAT_RECOVERY_ACHIEVEMENT_NAME,ItemTag_Blessed
Have {0} and {1},COND_STAT_VITALITY_MAGICPOWER_25_25_DESCRIPTION,COND_DLC_INDUSTRIALREVOLUTION_DESCRIPTION
Merchant,Character_Character35_Name,UI_Inventory_Title_Shop
{0} for every {1} weapon in inventory,Character_PowerUpDynamic_ItemCountByCategory_Non_PowerupStatID_Perk,Character_PowerUpDynamic_ItemCountByCategory_PowerupStatID_Perk
{0} for every {1} weapon,Character_PowerUpDynamic_TieredWeaponCount_PowerupStatID_Perk,DynamicItemPowerUpInjector_ItemCountByCategory
Armor,Character_armor_Stat,PowerUpStat_Armor
Attack Speed,Character_attackSpeed_Stat,Item_Stat_AttackSpeed
Critical Chance,Character_critChance_Stat,Item_Stat_CritChange
Critical Damage,Character_critModifier_Stat,Item_Stat_CritModifier
Damage %,Character_damage_Stat,PowerUpStat_DamageRatioBonusRuntime
Dodge Chance,Character_dodgeChance_Stat,PowerUpStat_DodgeChance
Knockback,Character_knockback_Stat,Item_Stat_Knockback
Lifesteal,Character_lifeSteal_Stat,Item_Stat_LifeSteal
Luck,Character_luck_Stat,PowerUpStat_Luck
Magic Power,Character_magicPower_Stat,PowerUpStat_MagicPower
Max Health,Character_maxHealth_Stat,SummonUnit_Stat_MaxHealth
Melee Power,Character_meleePower_Stat,PowerUpStat_MeleePower
Move Speed,Character_moveSpeed_Stat,PowerUpStat_MoveSpeed
Projectile Power,Character_projectilePower_Stat,PowerUpStat_ProjectilePower
Range,Character_range_Stat,Item_Stat_Range
Recovery,Character_recovery_Stat,PowerUpStat_Recovery
Resource Gain,Character_resourceGain_Stat,PowerUpStat_ResourceGain
Revival,Character_revival_Stat,PowerUpStat_Revival
Summon Cooldown Reduction,Character_summonCooldownReduction_Stat,PowerUpStat_SummonCooldownReduction
Summon Duration,Character_summonDuration_Stat,Item_Stat_SummonDuration
Summon Power,Character_summonPower_Stat,Item_Stat_SummonPower
Summon Quantity,Character_summonQuantity_Stat,Item_Stat_SummonQuantity
Summon Vitality,Character_summonVitality_Stat,PowerUpStat_SummonVitality
Vitality,Character_vitality_Stat,PowerUpStat_Vitality
Fist,ItemTag_Fist,Weapon_Fist1_Name
Halberd,ItemTag_Halberd,Weapon_Halberd1_Name
Shield,ItemTag_Shield,UI_HUD_UIDisplayStats_ShieldBar
Unique,ItemTag_Unique,Item_String_Unique
More Barrels Per Floor,Item_Description_CrateCaller,PowerUpStat_AdditionBarrelsCount
Adjacent Melee Weapons gains bonus: {DYNAMIC_POWERUP@0@0},Item_Description_CrossBow3,Item_Description_Staff2
Attacks strike the ground, causing area-of-effect damage.<br>Increases AOE size by {RULE_ItemPowerUp@0@0} for each adjacent Crushing weapon.,Item_Description_GreatHammer1,Item_Description_Hammer1
{RULE_PowerUp@0@0} INT for each adjacent wand or staff.,Item_Description_Hat_1,Item_Description_Hat_2
